county,date,quantile,hosp_census_with_covid,icu,Rt
Alameda,2024-02-29,0.5,,,0.9141154993283128
Alameda,2024-02-29,0.04999999999999999,,,NA
Alameda,2024-02-29,0.95,,,0.9719603867378735
Alameda,2024-03-07,0.5,,,0.9269113241169696
Alameda,2024-03-07,0.04999999999999999,,,NA
Alameda,2024-03-07,0.95,,,1.0061764240116864
Alameda,2024-03-14,0.5,,,0.9420378957114248
Alameda,2024-03-14,0.04999999999999999,,,NA
Alameda,2024-03-14,0.95,,,1.0404208837085462
Alameda,2024-03-18,0.5,,,0.9500137321252012
Alameda,2024-03-18,0.04999999999999999,,,NA
Alameda,2024-03-18,0.95,,,1.0461541005705477
Alameda,2024-03-19,0.5,,,0.9500137321252012
Alameda,2024-03-19,0.04999999999999999,,,NA
Alameda,2024-03-19,0.95,,,1.0461541005705477
Alameda,2024-03-21,0.5,,,0.9500137321252012
Alameda,2024-03-21,0.04999999999999999,,,NA
Alameda,2024-03-21,0.95,,,1.0461541005705477
Alameda,2024-03-28,0.5,,,0.9577089568293092
Alameda,2024-03-28,0.04999999999999999,,,NA
Alameda,2024-03-28,0.95,,,1.051419828474213
Alameda,2024-04-04,0.5,,,0.9668695284334974
Alameda,2024-04-04,0.04999999999999999,,,NA
Alameda,2024-04-04,0.95,,,1.056122580903171
Alameda,2024-04-11,0.5,,,0.9744936106154752
Alameda,2024-04-11,0.04999999999999999,,,NA
Alameda,2024-04-11,0.95,,,1.0613443444992
Alameda,2024-04-18,0.5,,,0.9824183572042104
Alameda,2024-04-18,0.04999999999999999,,,NA
Alameda,2024-04-18,0.95,,,1.0620497751965947
Alameda,2024-04-25,0.5,,,0.9895280361458748
Alameda,2024-04-25,0.04999999999999999,,,NA
Alameda,2024-04-25,0.95,,,1.062450465154614
Alameda,2024-05-02,0.5,,,0.9960950320376092
Alameda,2024-05-02,0.04999999999999999,,,NA
Alameda,2024-05-02,0.95,,,1.0591506855843402
Alameda,2024-05-09,0.5,,,1.0027015637096544
Alameda,2024-05-09,0.04999999999999999,,,NA
Alameda,2024-05-09,0.95,,,1.0561279070216452
Alameda,2024-05-16,0.5,,,1.0078760990654438
Alameda,2024-05-16,0.04999999999999999,,,NA
Alameda,2024-05-16,0.95,,,1.051420147369205
Alameda,2024-05-23,0.5,,,1.0127987380381556
Alameda,2024-05-23,0.04999999999999999,,,NA
Alameda,2024-05-23,0.95,,,1.046654714266573
Alameda,2024-05-30,0.5,,,1.0162025732770428
Alameda,2024-05-30,0.04999999999999999,,,NA
Alameda,2024-05-30,0.95,,,1.0448407547159009
Alameda,2024-06-06,0.5,,,1.018214001968523
Alameda,2024-06-06,0.04999999999999999,,,NA
Alameda,2024-06-06,0.95,,,1.0436334152852678
Alameda,2024-06-13,0.5,,,NA
Alameda,2024-06-13,0.04999999999999999,,,NA
Alameda,2024-06-13,0.95,,,NA
Alpine,2022-06-16,0.5,,,1.0609740606526197
Alpine,2022-06-16,0.04999999999999999,,,NA
Alpine,2022-06-16,0.95,,,1.4689054657346212
Alpine,2022-06-23,0.5,,,1.060396749897262
Alpine,2022-06-23,0.04999999999999999,,,NA
Alpine,2022-06-23,0.95,,,1.4367655333532714
Alpine,2022-06-30,0.5,,,1.0457634464642238
Alpine,2022-06-30,0.04999999999999999,,,NA
Alpine,2022-06-30,0.95,,,1.4082837327698832
Alpine,2022-07-07,0.5,,,1.0292690458657128
Alpine,2022-07-07,0.04999999999999999,,,NA
Alpine,2022-07-07,0.95,,,1.3657807101971262
Alpine,2022-07-14,0.5,,,1.0114576642280748
Alpine,2022-07-14,0.04999999999999999,,,NA
Alpine,2022-07-14,0.95,,,1.3186986117333657
Alpine,2022-07-21,0.5,,,0.9936314210485768
Alpine,2022-07-21,0.04999999999999999,,,NA
Alpine,2022-07-21,0.95,,,1.2689912074231269
Alpine,2022-07-28,0.5,,,0.969960481689224
Alpine,2022-07-28,0.04999999999999999,,,NA
Alpine,2022-07-28,0.95,,,1.230061631541948
Alpine,2022-08-04,0.5,,,0.950782798066336
Alpine,2022-08-04,0.04999999999999999,,,NA
Alpine,2022-08-04,0.95,,,1.2081854394978415
Alpine,2022-08-11,0.5,,,0.9324126754098718
Alpine,2022-08-11,0.04999999999999999,,,NA
Alpine,2022-08-11,0.95,,,1.175458551198595
Alpine,2022-08-18,0.5,,,0.9183902399529156
Alpine,2022-08-18,0.04999999999999999,,,NA
Alpine,2022-08-18,0.95,,,1.1643751946864116
Alpine,2022-08-25,0.5,,,0.9158284039433298
Alpine,2022-08-25,0.04999999999999999,,,NA
Alpine,2022-08-25,0.95,,,1.1578546250457062
Alpine,2022-09-01,0.5,,,0.9075627127745995
Alpine,2022-09-01,0.04999999999999999,,,NA
Alpine,2022-09-01,0.95,,,1.1607011029815015
Alpine,2022-09-08,0.5,,,0.9093652949747896
Alpine,2022-09-08,0.04999999999999999,,,NA
Alpine,2022-09-08,0.95,,,1.1436025998358117
Alpine,2022-09-15,0.5,,,0.906709900698639
Alpine,2022-09-15,0.04999999999999999,,,NA
Alpine,2022-09-15,0.95,,,1.1298596566103034
Alpine,2022-09-22,0.5,,,0.9104442207738572
Alpine,2022-09-22,0.04999999999999999,,,NA
Alpine,2022-09-22,0.95,,,1.130089961252121
Alpine,2022-09-29,0.5,,,0.9106357649486856
